rule_id	paper_id	paper_title	file_path	line_number	matched_text
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	28	"<uses-permission android:name=""android.permission.MODIFY_AUDIO_SETTINGS""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	29	"<uses-permission android:name=""android.permission.RECORD_AUDIO""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	36	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	37	"<uses-permission android:name=""android.permission.CAMERA""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	38	"<uses-permission android:name=""android.permission.VIBRATE""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	64	"<uses-permission android:name=""android.permission.ACCESS_WIFI_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	65	"<uses-permission android:name=""android.permission.READ_CALENDAR""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	66	"<uses-permission android:name=""android.permission.WRITE_CALENDAR""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	67	"<uses-permission android:name=""com.google.android.gms.permission.AD_ID""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	97	"<uses-permission android:name=""com.bupa.digitalprimarycare.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	98	"<uses-permission android:name=""android.permission.READ_PHONE_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	99	"<uses-permission android:name=""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE""/>"
BR002	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	34	"<uses-permission android:name=""android.permission.ACCESS_NETWORK_STATE""/>"
BR002	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	35	"<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	36	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	37	"<uses-permission android:name=""android.permission.CAMERA""/>"
BR003	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	55	<uses-permission
BR003	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	58	<uses-permission
BR003	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	61	"<uses-permission android:name=""android.permission.BLUETOOTH_SCAN""/>"
BR003	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	62	"<uses-permission android:name=""android.permission.BLUETOOTH_CONNECT""/>"
BR003	B023	Android Permissions Demystified	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	63	"<uses-permission android:name=""com.android.vending.CHECK_LICENSE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	47	"<uses-permission android:name=""android.permission.FOREGROUND_SERVICE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	48	"<uses-permission android:name=""android.permission.READ_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	49	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	50	"<uses-permission android:name=""android.permission.DOWNLOAD_WITHOUT_NOTIFICATION""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	66	"<uses-permission android:name=""android.permission.WRITE_CALENDAR""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	67	"<uses-permission android:name=""com.google.android.gms.permission.AD_ID""/>"
BR006	B016	A privacy and security analysis of early-deployed COVID-19 contact tracing Android apps	resources/com.bupa.digitalprimarycare.apk/AndroidManifest.xml	125	"android:usesCleartextTraffic=""true"""
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/auth0/android/request/DefaultClient.java	14	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/auth0/android/request/DefaultClient.java	34	"@Metadata(d1 = {""\u0000Z\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0000\n\u0002\u0010\b\n\u0002\b\u0002\n\u0002\u0010$\n\u0002\u0010\u000e\n\u0000\n\u0002\u0010\u000b\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0000\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0000\n\u0002\u0018\u0002\n\u0..."
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/auth0/android/request/DefaultClient.java	71	public DefaultClient(int i2, int i3, @NotNull Map<String, String> defaultHeaders, boolean z2, @Nullable SSLSocketFactory sSLSocketFactory, @Nullable X509TrustManager x509TrustManager) {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/auth0/android/request/DefaultClient.java	83	if (sSLSocketFactory != null && x509TrustManager != null) {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/auth0/android/request/DefaultClient.java	84	builder.sslSocketFactory(sSLSocketFactory, x509TrustManager);
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/auth0/android/request/DefaultClient.java	139	this(i2, i3, defaultHeaders, z2, (SSLSocketFactory) null, (X509TrustManager) null);
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/onfido/api/client/OnfidoFetcher.java	24	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/onfido/api/client/OnfidoFetcher.java	86	if (trustManager instanceof X509TrustManager) {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/onfido/api/client/OnfidoFetcher.java	87	builderNewBuilder.sslSocketFactory(new OnfidoTLSSocketFactory(), (X509TrustManager) trustManager);
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	15	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	49	X509TrustManager x509TrustManager = new X509TrustManager() { // from class: com.RNFetchBlob.RNFetchBlobUtils.1
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	50	@Override // javax.net.ssl.X509TrustManager
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	51	public void checkClientTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	54	@Override // javax.net.ssl.X509TrustManager
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	55	public void checkServerTrusted(X509Certificate[] x509CertificateArr, String str) throws CertificateException {
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	58	@Override // javax.net.ssl.X509TrustManager
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	64	sSLContext.init(null, new TrustManager[]{x509TrustManager}, new SecureRandom());
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/com/RNFetchBlob/RNFetchBlobUtils.java	67	builderNewBuilder.sslSocketFactory(socketFactory, x509TrustManager);
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/okhttp3/OkHttpClient.java	18	import javax.net.ssl.X509TrustManager;
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/okhttp3/OkHttpClient.java	48	"@Metadata(d1 = {""\u0000î\u0001\n\u0002\u0018\u0002\n\u0002\u0010\u001a\n\u0002\u0018\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u0002\n\u0002\u0010\b\n\u0002\b\u0002\n\u0002\u0018\u0002\n\u0002\b\u00..."
BR009	B030	Why Eve and Mallory Love Android: An Analysis of Android SSL (In)Security	sources/okhttp3/OkHttpClient.java	121	private final X509TrustManager x509TrustManager;
