rule_id	paper_id	paper_title	file_path	line_number	matched_text
BR001	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	32	"<uses-permission android:name=""android.permission.CHANGE_WIFI_MULTICAST_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	33	"<uses-permission android:name=""android.permission.CAMERA""/>"
BR001	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	34	"<uses-permission android:name=""android.permission.WAKE_LOCK""/>"
BR001	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	35	"<uses-permission android:name=""android.permission.READ_PHONE_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	36	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR002	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	25	"<uses-permission android:name=""android.permission.BLUETOOTH_ADMIN""/>"
BR002	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	26	"<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	27	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	28	"<uses-permission android:name=""android.permission.BLUETOOTH_SCAN""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	23	"<uses-permission android:name=""android.permission.READ_SYNC_SETTINGS""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	24	"<uses-permission android:name=""android.permission.BLUETOOTH""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	25	"<uses-permission android:name=""android.permission.BLUETOOTH_ADMIN""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	26	"<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	27	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	28	"<uses-permission android:name=""android.permission.BLUETOOTH_SCAN""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	29	"<uses-permission android:name=""android.permission.BLUETOOTH_CONNECT""/>"
BR003	B023	Android Permissions Demystified	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	30	"<uses-permission android:name=""android.permission.ACCESS_NETWORK_STATE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	35	"<uses-permission android:name=""android.permission.READ_PHONE_STATE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	36	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	37	"<uses-permission android:name=""android.permission.POST_NOTIFICATIONS""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	45	"<uses-permission android:name=""com.google.android.gms.permission.AD_ID""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	46	"<uses-permission android:name=""android.permission.ACCESS_ADSERVICES_ATTRIBUTION""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	47	"<uses-permission android:name=""android.permission.ACCESS_ADSERVICES_AD_ID""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	48	"<uses-permission android:name=""com.google.android.finsky.permission.BIND_GET_INSTALL_REFERRER_SERVICE""/>"
BR006	B016	A privacy and security analysis of early-deployed COVID-19 contact tracing Android apps	resources/ar.com.vesta.nutrack.apk/AndroidManifest.xml	61	"android:usesCleartextTraffic=""true"""
