rule_id	paper_id	paper_title	file_path	line_number	matched_text
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	63	"<uses-permission android:name=""android.permission.READ_PHONE_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	64	"<uses-permission android:name=""android.permission.ACCESS_WIFI_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	66	"<uses-permission android:name=""android.permission.INTERNET""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	67	"<uses-permission android:name=""android.permission.CAMERA""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	73	"<uses-permission android:name=""android.permission.ACCESS_WIFI_STATE""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	74	"<uses-permission android:name=""android.permission.RECORD_AUDIO""/>"
BR001	B023	Android Permissions Demystified	resources/AndroidManifest.xml	75	"<uses-permission android:name=""android.permission.FLASHLIGHT""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	50	"<uses-permission android:name=""android.permission.ACCESS_COARSE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	51	"<uses-permission android:name=""android.permission.ACCESS_FINE_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	52	<uses-permission
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	118	"<uses-permission android:name=""com.hihonor.android.launcher.permission.CHANGE_BADGE""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	119	"<uses-permission android:name=""android.permission.ACCESS_BACKGROUND_LOCATION""/>"
BR002	B023	Android Permissions Demystified	resources/AndroidManifest.xml	120	"<uses-permission android:name=""android.permission.GET_TASKS""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	52	<uses-permission
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	55	<uses-permission
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	58	"<uses-permission android:name=""android.permission.BLUETOOTH_CONNECT""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	59	"<uses-permission android:name=""android.permission.MODIFY_AUDIO_SETTINGS""/>"
BR003	B023	Android Permissions Demystified	resources/AndroidManifest.xml	60	<uses-permission
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	85	"<uses-permission android:name=""android.permission.SET_WALLPAPER""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	86	"<uses-permission android:name=""android.permission.WRITE_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	87	"<uses-permission android:name=""android.permission.READ_EXTERNAL_STORAGE""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	88	"<uses-permission android:name=""android.permission.ACTIVITY_RECOGNITION""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	110	"<uses-permission android:name=""android.permission.READ_MEDIA_IMAGES""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	111	"<uses-permission android:name=""android.permission.READ_MEDIA_VIDEO""/>"
BR004	B006	Analyzing security issues of android mobile health and medical applications	resources/AndroidManifest.xml	112	"<uses-permission android:name=""android.permission.READ_MEDIA_VISUAL_USER_SELECTED""/>"
BR005	B021	Metadata-Based Privacy Assessment for Mobile mHealth	resources/AndroidManifest.xml	102	"<uses-permission android:name=""com.xs.smartlink.DYNAMIC_RECEIVER_NOT_EXPORTED_PERMISSION""/>"
